index;Heure;Jour;Mois;Année;Pression_au_niveau_mer;Variation_de_pression_en_3_heures;Type_de_tendance_barométrique;Direction_du_vent_moyen_10_mn;Vitesse_du vent_moyen_10_mn;Température;Point_de_rosée;Humidité;Visibilité_horizontale;Temps_présent;Pression_station;Rafales_sur_une_période;Periode_de_mesure_de_la_rafale;Précipitations_dans_la_dernière_heure;Précipitations_dans_les_3_dernières_heures;Température(°C);consommation;datehour;datemonth
7539;4;1;1;2013;101480.0;-230.0;6.0;80.0;4.6;282.55;280.85;89.0;25000.0;2.0;101380.0;9.3;-10.0;0.0;0.0;9.400000000000034;27896.0;4;1
9744;7;1;1;2013;101420.0;-60.0;5.0;10.0;4.6;282.05;280.45;90.0;25000.0;2.0;101320.0;6.2;-10.0;0.0;0.0;8.900000000000034;24316.0;7;1
7551;10;1;1;2013;101520.0;100.0;3.0;350.0;4.6;282.25;280.35;88.0;25000.0;2.0;101420.0;6.7;-10.0;0.0;0.0;9.100000000000025;24546.0;10;1
114124;13;1;1;2013;101520.0;0.0;0.0;350.0;5.1;283.85;280.95;82.0;25000.0;2.0;101420.0;7.2;-10.0;0.0;0.0;10.700000000000044;27431.0;13;1
7566;16;1;1;2013;101520.0;0.0;5.0;40.0;1.5;283.65;281.45;86.0;25000.0;2.0;101420.0;2.6;-10.0;0.0;0.0;10.5;26963.0;16;1
7571;19;1;1;2013;101610.0;90.0;2.0;260.0;0.5;279.85;278.65;92.0;10000.0;2.0;101510.0;1.5;-10.0;0.0;0.0;6.7000000000000455;28281.0;19;1
25249;22;1;1;2013;101690.0;80.0;3.0;50.0;1.0;280.15;279.05;93.0;6000.0;2.0;101590.0;3.6;-10.0;0.0;0.0;7.0;29981.0;22;1
115596;1;2;1;2013;102460.0;-90.0;8.0;280.0;5.1;286.35;279.25;62.0;55000.0;0.0;102360.0;8.2;-10.0;0.0;0.0;13.200000000000044;29334.0;1;1
5897;4;2;1;2013;102190.0;-270.0;8.0;310.0;3.1;285.75;278.85;63.0;55000.0;0.0;102090.0;5.1;-10.0;0.0;0.0;12.600000000000025;24970.0;4;1
115610;7;2;1;2013;101950.0;-240.0;6.0;260.0;3.1;284.65;279.75;72.0;50000.0;2.0;101850.0;4.1;-10.0;0.0;0.0;11.5;25010.0;7;1
